Submissionid,Reason
72599272,Trademark Violation
74324885,Constitution Missing
72774795,Constitution Missing
72774795,Trademark Violation
74292968,Constitution Missing
74292968,Trademark Violation
72469645,Roster Issue
72469645,Trademark Violation
73317230,Roster Issue
73317230,Constitution Missing
73317230,Trademark Violation
73385167,Constitution Missing
73385167,Trademark Violation
74136701,Roster Issue
74136701,Trademark Violation
71921782,Constitution Missing
71921782,Trademark Violation
74145771,Roster Issue
74145771,Constitution Missing
74145771,Trademark Violation
72514310,Constitution Missing
72514310,Trademark Violation
73408636,Constitution Missing
73408636,Trademark Violation
73094493,Roster Issue
73094493,Constitution Missing
73094493,Trademark Violation
73822633,Roster Issue
73822633,Constitution Missing
73822633,Trademark Violation
71831530,Trademark Violation
72426716,Trademark Violation
72973816,Constitution Missing
72973816,Trademark Violation
74365721,Constitution Missing
74365721,Trademark Violation
73104190,Trademark Violation
74313821,Roster Issue
74313821,Constitution Missing
74313821,Trademark Violation
74331126,Constitution Missing
74331126,Trademark Violation
73904897,Trademark Violation
73824509,Trademark Violation
74262359,Constitution Missing
74262359,Trademark Violation
72376442,Constitution Missing
72376442,Trademark Violation
71977867,Roster Issue
71977867,Trademark Violation
73006348,Roster Issue
73006348,Trademark Violation
72938740,Roster Issue
72938740,Trademark Violation
72180230,Roster Issue
72180230,Constitution Missing
72180230,Trademark Violation
74176859,Trademark Violation
74324397,Roster Issue
74324397,Trademark Violation
72209552,Roster Issue
72209552,Trademark Violation
73510836,Constitution Missing
73510836,Trademark Violation
73438645,Constitution Missing
73438645,Trademark Violation
72149629,Constitution Missing
72149629,Trademark Violation
71827544,Roster Issue
71827544,Trademark Violation
72507828,Roster Issue
72507828,Trademark Violation
72196026,Roster Issue
72196026,Constitution Missing
72196026,Trademark Violation
72428512,Constitution Missing
72428512,Trademark Violation
72601888,Roster Issue
72601888,Trademark Violation
72510656,Constitution Missing
72510656,Trademark Violation
72648566,Constitution Missing
72648566,Trademark Violation
71897836,Roster Issue
71897836,Constitution Missing
71897836,Trademark Violation
74340333,Roster Issue
74340333,Trademark Violation
73036794,Roster Issue
73036794,Constitution Missing
73036794,Trademark Violation
73940950,Roster Issue
73940950,Constitution Missing
73940950,Trademark Violation
72180262,Constitution Missing
72180262,Trademark Violation
72410497,Constitution Missing
72410497,Trademark Violation
71899946,Roster Issue
71899946,Trademark Violation
74283215,Roster Issue
74283215,Trademark Violation
74002360,Roster Issue
74002360,Constitution Missing
74002360,Trademark Violation
73395294,Roster Issue
73395294,Constitution Missing
73395294,Trademark Violation
74299406,Constitution Missing
74299406,Trademark Violation
72475222,Roster Issue
72475222,Constitution Missing
72475222,Trademark Violation
71835645,Constitution Missing
71835645,Trademark Violation
74290325,Roster Issue
74290325,Trademark Violation
73716280,Roster Issue
73716280,Trademark Violation
73777429,Roster Issue
73777429,Constitution Missing
73777429,Trademark Violation
74323208,Constitution Missing
74323208,Trademark Violation
74272434,Constitution Missing
74272434,Trademark Violation
74151816,Roster Issue
74151816,Trademark Violation
72936507,Roster Issue
72936507,Trademark Violation
74251443,Roster Issue
74251443,Trademark Violation
74118541,Constitution Missing
74118541,Trademark Violation
71846088,Trademark Violation
72420870,Roster Issue
72420870,Trademark Violation
74368621,Roster Issue
74368621,Trademark Violation
74315396,Constitution Missing
74315396,Trademark Violation
74138828,Constitution Missing
74138828,Trademark Violation
72761915,Trademark Violation
72464992,Trademark Violation
72087978,Roster Issue
72087978,Trademark Violation
74328391,Roster Issue
74328391,Trademark Violation
71939925,Roster Issue
71939925,Trademark Violation
74331216,Roster Issue
74331216,Trademark Violation
71899580,Roster Issue
71899580,Trademark Violation
74258996,Roster Issue
74258996,Trademark Violation
73437062,Roster Issue
73437062,Trademark Violation
74116481,Constitution Missing
74116481,Trademark Violation
74131757,Constitution Missing
74131757,Trademark Violation
73437451,Roster Issue
73437451,Trademark Violation
72464858,Roster Issue
72464858,Trademark Violation
74330635,Roster Issue
74330635,Trademark Violation
71885719,Constitution Missing
71885719,Trademark Violation
74338671,Roster Issue
74338671,Trademark Violation
74135842,Roster Issue
74135842,Constitution Missing
74135842,Trademark Violation
72649352,Roster Issue
72649352,Trademark Violation
74125984,Roster Issue
74125984,Trademark Violation
72981763,Constitution Missing
72981763,Trademark Violation
74337059,Roster Issue
74337059,Constitution Missing
74337059,Trademark Violation
74311885,Roster Issue
74311885,Trademark Violation
74310715,Constitution Missing
74310715,Trademark Violation
73766018,Roster Issue
73766018,Constitution Missing
73766018,Trademark Violation
72022168,Roster Issue
72022168,Trademark Violation
72464544,Roster Issue
72464544,Trademark Violation
72426423,Roster Issue
72426423,Constitution Missing
72426423,Trademark Violation
72453961,Roster Issue
72453961,Constitution Missing
72453961,Trademark Violation
73867576,Trademark Violation
74381584,Roster Issue
74381584,Constitution Missing
74381584,Trademark Violation
74223648,Roster Issue
74223648,Trademark Violation
73575905,Roster Issue
73575905,Trademark Violation
71935723,Constitution Missing
71935723,Trademark Violation
73384729,Roster Issue
73384729,Trademark Violation
73118485,Roster Issue
73118485,Constitution Missing
73118485,Trademark Violation
72988621,Roster Issue
72988621,Constitution Missing
72988621,Trademark Violation
74414008,Other
73966588,Roster Issue
73966588,Trademark Violation
74362296,Roster Issue
74362296,Trademark Violation
72455449,Roster Issue
72455449,Constitution Missing
72455449,Trademark Violation
72474564,Constitution Missing
72474564,Trademark Violation
72196577,Roster Issue
72196577,Constitution Missing
72196577,Trademark Violation
73359719,Roster Issue
73359719,Constitution Missing
73359719,Trademark Violation
74006548,Roster Issue
74006548,Trademark Violation
72401032,Roster Issue
72401032,Trademark Violation
71927798,Roster Issue
71927798,Trademark Violation
74288109,Constitution Missing
74288109,Trademark Violation
74383164,Roster Issue
74383164,Trademark Violation
72515096,Roster Issue
72515096,Trademark Violation
73705866,Trademark Violation
74370756,Roster Issue
74370756,Trademark Violation
72057822,Roster Issue
72057822,Trademark Violation
72636963,Roster Issue
72636963,Trademark Violation
74358074,Roster Issue
74358074,Constitution Missing
74358074,Trademark Violation
72394941,Constitution Missing
72394941,Trademark Violation
73744841,Roster Issue
73744841,Trademark Violation
73870371,Roster Issue
73870371,Trademark Violation
74145016,Constitution Missing
